评论时间,评论者,弹幕内容
2022/4/2 17:24,椒椒好可爱,回复@巨兽吃我炸弹:调休啊[doge]
2022/4/2 17:54,翔宇哥O,回复@巨兽吃我炸弹:高中没有休。。。
2022/4/2 12:47,Fireworks_林炽,oldTomato对周六12:00的执着[脱单doge]
2022/4/2 12:51,挂着直播学习,卑微调休人在课间的最后执着[OK]
2022/4/2 12:03,一条大饿龙,你正处在一款叫做《地球OL》的游戏中你已经玩了1-20年了你的神经正在衰弱你的神经电流正在紊乱这使你忘记了主世界我们为了唤醒你唤醒沉迷于此的人们编入了一串代码进入服务器我们不知道你会怎样这会以一种怎样的方式呈现给你如果你看到了这条信息赶快醒来↓按我回到现实世界[doge]
2022/4/2 12:05,万事胜意y0,收起[doge]
2022/4/2 12:07,想吃花生酥,回复@万事胜意y0:[doge][doge][doge]
2022/4/2 12:08,心态爆炸呵呵,马萨卡，难道这就是收起这个世界的按键[Cat2_FallOut!?]
2022/4/3 15:13,转身斑斓波,看完之后还是对拖码头的游戏更好奇
2022/4/3 16:45,重返帝国手游,马骑人的时代终将(bie)到(lai)来(le)？
2022/4/2 12:40,ADuCk翻车鱼,击败马der堡只要做半球实验就可以了！
2022/4/2 13:24,Ether_水函,草
2022/4/2 12:01,中国BOY超级大猩猩丶,约好的是吧
2022/4/2 12:10,a蒲-,高仿的屑[doge]
2022/4/2 12:12,中国BOY超级大猩猩丶,回复@a蒲-:我不是[傲娇]
2022/4/2 12:35,你是不是喜欢吞评,老番茄不一直12点发视频的吗，这有什么约好的
2022/4/2 13:21,李子树下的我okii,托码头你对周六十二点是多么迷恋？(●￣(ｴ)￣●)
2022/4/2 13:24,X_huihui-,15个赞干爆下面2054个赞[脱单doge]
2022/4/2 12:42,_矜慕-,12点发视频，早知道刚才就不导了[doge]（指导数）
2022/4/2 12:47,我不是creeper,上去丢人
2022/4/2 12:49,超绝帅气战斗款挖掘机,39个赞是如何力压千军万马跻身热评第二的呢？！
2022/4/2 12:37,秘制咸鱼cx,你有没有想过，城市在分崩离析……[doge]
2022/4/2 12:38,不想睡觉的玖澈丿,孩子们在狞笑[doge]
2022/4/2 12:08,你知道吧-,哇哇哇，一下课就看到茄茄更新了[打call]今天生日，祝自己生日快乐[羞羞]
2022/4/2 13:13,白衣清狂-,生日快乐
2022/4/2 13:20,我难道不是可爱多吗,生日快乐！！[脱单doge]
2022/4/2 18:00,角1加角2,生日快乐啊[打call][打call]
2022/4/2 12:18,呐呐是苏苏吖,“发生什么事了”“一旦接受了自己的软弱，那我就是无敌的”
2022/4/2 12:05,那个阿柴,省流：月初省什么流，我tm都还没看呢[傲娇][傲娇]
2022/4/3 15:23,炸鸡和猪肘子,看某番茄视频的人会玩这个赞助商的game嘛[doge][doge][doge]
2022/4/3 15:23,内蒙の上单,不可能[doge]绝对不可能[脱单doge]
2022/4/3 15:23,炸鸡和猪肘子,无视我是个高仿[狗子]
2022/4/3 15:23,养胃战士,刚发布[doge]
2022/4/2 15:49,是星小皇鸭丶,这游戏一般，开局就首充一元六元三十六元，看样子是准备对标万国觉醒，腾讯性质懂得都懂只能说（ps：玩到第三天就退游了，可能还有一些不够充分）萌新还能玩不过打氪佬这辈子就别想了吧
2022/4/2 12:43,山竹1822-shr,论番茄对星期六12点整发视频的执着[doge]
2022/4/2 12:43,粤利粤很圆,两秒前
2022/4/2 13:14,记得基础解系n-r个向量,不要一柿纪[脱单doge]可以0.000191780821918柿纪[脱单doge]
2022/4/2 12:09,Yuropin,我的MA呀，看成是骑兵长（利威尔）了[保卫萝卜_问号]
2022/4/2 12:09,断鳞,穿条裤子吧[脱单doge]
2022/4/2 12:13,Thame_Camist,哈哈哈我也是[doge]
2022/4/2 12:28,打个呵欠接着睡,刷到你就知道我不是一个人了[doge]
2022/4/2 13:00,你皮到我了,我是说，有没有一种可能，老番茄是十二点的守门童，等着开门的那种[doge]
2022/4/2 12:19,身高超过中国拜,《老番茄对每周六中午12点发视频的执着》
2022/4/2 12:44,半只废物半价,为什么这马长了个某幻样[doge]
2022/4/2 12:14,saltyfish_xy,内个……就是说……咱想玩茄哥的游戏，在哪可以下载？
2022/4/3 19:15,Toba-果子,玩无尽的拉格朗日点我喜欢选中系文明。因为中系文明有耕地加成10%。更有特殊将领带兵打仗。骑兵伤害多25%！快来快来。我在无尽的拉格朗日点等你。
2022/4/3 18:27,姜迟今天练吉他了吗,为什么恰饭番茄都能做的那么有意思啊喂
2022/4/2 20:04,up已注销,今天是个好日子今天我过生日，今天我喜欢的up更新了
2022/4/2 20:04,因彦知星元,祝你生日快乐[鼓掌]
2022/4/2 21:02,夜空中的星星眨眼睛,生日快乐[保卫萝卜_笔芯]
2022/4/2 14:28,基铌钛镁w,擦，只有我断句成了骑兵长吗[辣眼睛][辣眼睛]后颈危
2022/4/8 11:47,爆漿魷鱼,老番茄可以报销一下路费吗，这周的飞机都是为了你打的。
2022/4/8 15:30,梵月迟早会上了某幻,嗯....?！！
2022/4/8 22:12,哈撒给㗵,这位更是歌姬吧[辣眼睛]
2022/4/2 18:27,赵OvO,老番茄：我们的游戏正在蒸蒸日上[doge]
2022/4/4 0:03,宝可梦官方,因为密麻麻石蜡
2022/4/2 12:36,齐锣分锣,今天番茄的脸色依旧红润，甚至还打了高光[doge]
2022/4/2 12:52,昼伏夜不出-,"你讲的非常有道理,有道理就有道理在它其实并没有什么道理,但是你觉得有道理,我觉得有道理,他也觉得有道理,所以它就变得有道理。"
2022/4/2 12:53,123yzxgg,[热词系列_知识增加]
2022/4/2 12:53,三路呀,神奇的三级号
2022/4/2 12:22,印江阳-,《托码头的周六固执》[打call][打call][给心心]
2022/4/2 12:22,xh普简,这条评论3秒之前可行
2022/4/2 12:02,一斗魈kun老婆,茄切和某幻怎么都对12:00产生了执着
2022/4/2 12:07,婷哥不想吃香菜,马哥还没有太执着，番茄已经无法自拔了[脱单doge]
2022/4/2 12:22,不要香菜面馆馆主,茄老师知道我们中午要吃饭了，所以特地为我们在每周六的中午12:00送来了下饭视频快说：谢谢茄老师
2022/4/2 12:22,不酸的柠檬汁QAQ,谢谢雀老师（?
2022/4/2 12:59,Biscooooo,托码头还好我还没睡觉[doge][doge]
2022/4/2 12:23,sixae,“我们一定要振兴公司！”那我们下一款游戏叫什么？“战地2042”[doge]
2022/4/2 12:50,吴世勋的眉毛到处飞,斯米马赛我第一反应看成“骑兵长”对不起利威尔[跪了]
2022/4/4 11:13,4.64333E+11,建议标题：他们给的实在是太多了[doge]
2022/4/2 12:49,我是个废物3,哦，对了，我见过这个游戏，我记得是在我的退款里
2022/4/4 13:01,我真的不是应急食品啦,笑笑就行了，游戏是一定不会下的[doge]
2022/4/4 16:21,厁san癝bing,毕竟腾讯游戏，懂得都懂
2022/4/2 16:46,yuiop678,果然社恐的人内心戏很足，想象力够丰富[笑哭]
2022/4/2 16:46,13A02奶粉二世,哈哈哈
2022/4/2 12:46,宫徜箻倾辛珆,你12点钟发视频，那么从11点钟起，我就开始感到紧张。时间越临近，我就越感到紧张，到了12点钟的时候，我就会坐立不安：我就会发现喜欢你的代价。[大笑][大笑][大笑]（改自《小王子》[脱单doge][脱单doge][脱单doge]）
2022/4/2 12:59,Incredulity,标题没看到的，我还在想怎么骑兵长[捂脸]
2022/4/2 13:00,小羊肖恩yo,还得是I老师啊[doge]
2022/4/2 12:11,简单の鬼差,培养一位骑兵太精贵了建议把马单独派上战场[思考]
2022/4/2 17:21,yobinnnn,看成“骑/兵长”了，害我兴奋地立马点进来，原来是我想太多了抱歉[笑哭]
2022/4/2 17:38,筱辰小可爱,海报左下角的Xbox是几个意思啊[生气][生气][生气]！！！！！！！！！！！！！！！！
2022/4/2 17:39,年味花椒,啊哈哈哈哈
2022/4/2 19:05,bili_1644387358,质疑粉丝数的能不能先去翻翻up主页啊，一上来就各种阴阳怪气是不是有点[辣眼睛]
2022/4/2 19:17,花生位花生酱,B站不太行了[辣眼睛]
